Date,Open,High,Low,Close,Volume
4/15/2016 15:30:00,39450,39450,38600,38800,123601
4/18/2016 15:30:00,39700,39950,39100,39650,196171
4/19/2016 15:30:00,40050,42450,40050,42450,666447
4/20/2016 15:30:00,42500,42900,42150,42400,345367
4/21/2016 15:30:00,42650,43100,42300,42650,192661
4/22/2016 15:30:00,43050,43050,42100,42650,164041
4/25/2016 15:30:00,43000,43300,42650,43000,133642
4/26/2016 15:30:00,43400,43400,42200,42200,135276
4/27/2016 15:30:00,42350,42900,41950,42750,115002
4/28/2016 15:30:00,43000,43000,41350,41900,138027
4/29/2016 15:30:00,41400,42850,41400,42800,133684
5/2/2016 15:30:00,42200,42450,40100,40200,376785
5/3/2016 15:30:00,40250,41250,40250,41150,212177
5/4/2016 15:30:00,41100,41100,40050,40450,163152
5/9/2016 15:30:00,40050,40400,39550,39650,131143
5/10/2016 15:30:00,39550,41850,39550,41550,216016
5/11/2016 15:30:00,42000,44050,41100,43700,641052
5/12/2016 15:30:00,43800,44900,43450,44700,507793
5/13/2016 15:30:00,44650,45150,44400,44700,289097
5/16/2016 15:30:00,44500,45000,43550,43950,175686
5/17/2016 15:30:00,43900,44950,43000,44650,264842
5/18/2016 15:30:00,44650,44650,43750,43950,132133
5/19/2016 15:30:00,44000,44400,42750,43000,178348
5/20/2016 15:30:00,43100,45150,43100,44500,343062
5/23/2016 15:30:00,44800,46100,44750,45850,462920
5/24/2016 15:30:00,45900,46250,44100,44650,242725
5/25/2016 15:30:00,44800,46950,44800,46700,391814
5/26/2016 15:30:00,46250,46950,46050,46450,154829
5/27/2016 15:30:00,46450,48000,43100,46050,1287713
5/30/2016 15:30:00,46600,46950,44750,45050,473329
5/31/2016 15:30:00,45400,45850,44900,45600,221623
6/1/2016 15:30:00,45050,46150,44300,45800,269551
6/2/2016 15:30:00,45900,46000,44800,45600,170183
6/3/2016 15:30:00,45800,45800,44100,44500,205333
6/7/2016 15:30:00,44500,44550,43100,43850,235566
6/8/2016 15:30:00,43900,43950,43000,43150,160374
